   93664	pistää_silmä	 idiomatic	Heidän joukostaan minä pistin silmääsi senvuoksi , etten ollut ollenkaan _heidän_ kaltaisensa .
   97807	pistää_silmä	 idiomatic	Näettehän nuo kirkkaan viheriät täplät , jotka pistävät silmään kaikkialla ? ''
  137723	pistää_silmä	 idiomatic	-- tai milloin se pistää silmääni jostakin teoksesta tai milloin maamme arvokkaimmassa pyhäkössä käydessäni pysähdyn hetkeksi Konrad Bitzin viimeisen leposijan ääreen muinaisessa Pietarin ja Paavalin kappelissa , silloin kohoaa aina mieleeni eloisana ja värikkäänä kappale melskeistä unioniaikaa .
  194839	pistää_silmä	 idiomatic	Tämä pistää silmään varsinkin silloin , jos tulemme vieläkin eteläisemmistä maista , taikka vaikkapa Ranskasta .
  223731	pistää_silmä	 idiomatic	Ei siitä pääse sivu muissakaan kirkoissa , mutta täällä se pistää silmään enemmän kuin muualla .
  265079	pistää_silmä	 idiomatic	Mutta yksi puute siinä kumminkin on ; se on pysymätön , pian haihtuvainen , ja mitä ylemmille olevaisuuden aloille joudutaan , sitä enemmin sen riittämättömyys pistää silmään , sitä enemmin taiteilijan , luontoa mukaillessaan , täytyy ammentaa omasta hengestään .
  276982	pistää_silmä	 idiomatic	Vaikka tämä puku , joka pitkäaikaisesta käyttämisestä oli likaantunut ja mustunut hiestä ja pölystä , oli vähemmin alkuperäinen kuin edellä kuvattu , oli sillä se historiallinen merkitys , että se esiintyi välimuotona siihen melkein upeaan asuun , jossa komeilivat muutamat , sinne tänne joukkoon sekaantuneet miehet , pistäen silmään muista kuin heleät kukkaset .
  276989	pistää_silmä	 idiomatic	Heillä oli päässä pyöreät hatut , vieterisilinterit tai lippalakit , jalassa kaulussaappaat tai säärystimillä varustetut kengät , joten heidän pukujensa erilaisuus pisti silmään yhtä paljon kuin talonpoikien .
  277471	pistää_silmä	 idiomatic	Kuitenkin pani hän merkille tuon nuoren miehen paljaan kaulan , jonka valkoihoisuus vielä enemmän pisti silmään hellästi ja huolimattomasti sidotun kaulahuivin rinnalla .
  370019	pistää_silmä	 idiomatic	Hän kyllä tiesi , ettei ollut tutkinut itseään kyllin tarkasti , vaan että jotain voi vielä olla jälellä hänen itsensä sitä huomaamatta , ja että se pisti silmiin kun hän tuli ulos .
  451379	pistää_silmä	 idiomatic	Yksi näistä kirjotuksista , joita tuli ei ollut tärvellyt niin pahoin kuin toisia , pisti silmääni astuskellessani pitkin käytävää : minä tarkastin muutkin oviaukot ja huomasin , että niissä kaikissa näkyi vaivoin luettavia jälkiä ovenkamanaan kaiverretuista nimistä .
  598834	pistää_silmä	 idiomatic	Hän tuijotti Petteriin ja näytti siltä kuin mustien kulmien alla olevat pistävät silmät putoisivat pois päästä .
  632941	pistää_silmä	 idiomatic	Muistutuksia varten , joiden täytyy erityisesti pistää silmään , otan sormestani verta .
  691529	pistää_silmä	 idiomatic	Hänen ylellisen hieno pukunsa pisti silmään omituisena vastakohtana hänen vakaville kasvoilleen , joista huokui miehekäs levollisuus ja voima .
  701569	pistää_silmä	 idiomatic	Pääsaaren rannikolta pisti silmiin mangrove-puiden tumma vyö , joka etelässä päättyi Tanjong Mirrahin punertaviin kallioihin .
  701902	pistää_silmä	 idiomatic	Useimmat laatikot olivat pudonneet lattialle , ja niistä pisti silmiin tukuttain paperia , joka oli vuosien ja lian kellastama .
  706313	pistää_silmä	 idiomatic	Jo rajakylissä niinkuin Miinoassa ja Kivijärvellä tämän erotuksen huomaa , ja kuta syvemmälle Karjalaan kulkee , sitä jyrkemmin se pistää silmään ; niin esim .
  706772	pistää_silmä	 idiomatic	Kemijoen pohjoisranta Usman alla on jokseenkin korkea , mutta sen korkeus ei niin pistä silmään sen takia , että se keskellä vietettänsä muodostaa moniaita kymmeniä syliä leveän penkereen .
  707791	pistää_silmä	 idiomatic	Puhtaus huoneissa oli muuten , niinkuin jo varemmin olen sanonut , asia , joka kaikkialla Karjalassa pisti silmään , ja Tyrhy siis tässä suhteessa teki huomattavan poikkeuksen .
  724146	pistää_silmä	 idiomatic	Heidän takanaan oli pieni pöytä , jolla oli sievän illallisen jätteet ; hummerin loistavan punaiset kuoret pistivät silmään , niin että teki kipeätä ... Gustaf Borg ei ollut milloinkaan säälinyt Kuningas Learia ; hänen mielestään tämä oli saanut ansionsa mukaan , kun oli appena asettunut vastanaineiden luo , tuoden mukanaan satamiehisen linnaväkijoukon .
  757801	pistää_silmä	 idiomatic	Pelaavien vaihettelevat ja omituiset puvut , joita säteilevä aurinko valaisi , ja jotka viheriällä ruohokentällä vielä paremmin pistivät silmiin , muodostivat loistavan ja vilkkaan kuvan , jota ne , jotka eivät pelanneet , istuessansa ruohopenkeillä ja puiden alla , suurella mielihyvällä katselivat .
  777492	pistää_silmä	 idiomatic	Mutta sitä ennen tulisi hänen oppia ainakin vähän kutakin -- sama mitä -- jottei maalaisuus niin aivan karkeesti pistäisi silmiin suuressa , vieraassa kaupungissa .
  788791	pistää_silmä	 idiomatic	Heti pisti silmään , että salissa vallitsi täydellinen järjestys .
  801168	pistää_silmä	 idiomatic	Nyt on koko kansa intohimoisesti hallitusta vastaan ; muutamien viikkojen kuluttua , jos omanvoitontavoittelu , pelko ja penseä haluttomuus , jotka nytkin jo pistävät silmään , saavat tehdä tehtävänsä , on ensi-into jäähtynyt yhtä kylmäksi kuin jouluilma .
  814913	pistää_silmä	   literal	Sitäpaitsi irlantilaiset paikalla karkasivat hänen kimppuunsa ja uhkasivat pistää silmät puhki .
  820045	pistää_silmä	 idiomatic	Ainoa mikä toisinaan pisti silmääni oli se , että poika oli lauhan näköinen , mutta itse asiassa tulen kiukkuinen .
  836035	pistää_silmä	 idiomatic	Sama on asianlaita Moskovasta etelään lähtiessä , Mutta omituisesti pistää silmään se seikka , etteivät nuo ränsistyneet kylät ja elämään haluttomat ihmiset muuksi muutu , vaikka maat ja viljelykset muuttuvat .
  849484	pistää_silmä	 idiomatic	Tämäpä merkillistä ... tosiaan , sangen merkillistä ... Ei tahdo heti pistää silmään ... Mutta tässä ? ...
  943625	pistää_silmä	 idiomatic	Ensimmäiseksi lukioon tullessani pisti silmääni , että minä yksin olin puettu puseroon .
  944029	pistää_silmä	 idiomatic	Paikallisen sotaväen aliupseerit kävivät siellä ahkerasti , niin että sisään astuissa ensimmäisenä pisti silmään nauloissa riippuvien sotilaslakkien ja kannikehihnojen paljous .
  996036	pistää_silmä	 idiomatic	Ensimmäisenä pistää silmäänne valtion sinetti -- tuokaa se tänne . ''
 1002835	pistää_silmä	 idiomatic	Minä tiedän että teidän kauneutenne muutenkin pistää silmään , että se itsestäänkin kylläksi näkyy ja ett'ei tarvitse silmälaseja sitä nähdäkseen ; mutta silmälaseillahan tähtiäkin katsellaan , ja minä väitän ja vakuutan , että te olette tähti , mutta tähti , -- kaunein tähti tähtölässä .
 1026565	pistää_silmä	 idiomatic	Mikä täällä ensin pistää silmiin on suuri , keilanmuotoinen , kauniisti rakennettu kota .
 1056465	pistää_silmä	 idiomatic	Ulkona oli aurinko noussut ja sirotti aamukultaansa nummelle , jokunen sädekimppu valahti myös sisään tomuisen ikkunan läpi ja valaisi kuolevan vääntyneitä piirteitä , likaista vuodetta , puutetta ja köyhyyttä , jotka niin räikeinä pistivät silmään kirkkaassa aamunkoitteessa .
 1057013	pistää_silmä	 idiomatic	Onneksi ei kukaan katsonut Karinia ; heikko puna , joka Göstan nimeä mainittaessa nousi hänen poskilleen , häipyi siksi heti hänen tavalliseksi kalpeudekseen , joka niin räikeästi pisti silmiin Estridin purppuranpunaisten huulten ja poskien rinnalla .
 1132220	pistää_silmä	 idiomatic	Pian pisti silmiini pieni tuparakennus , jonka akkunapielet olivat valkoisiksi maalatut ja jonka edessä oleva piha oli lauta-aidalla ympäröitty .
 1136423	pistää_silmä	 idiomatic	Metsänotukset ovat saman värisiä kuin ympäristönsä ja pistävät silmään vain liikkuessaan .
 1151838	pistää_silmä	   literal	Ja kun se iski syvälle Juhon rintaan ja pisti silmiin ja poltti korvalehdissä , tuntui hänestä äkkiä kuin olisi katu avautunut , talot väistyivät kumartuen , maa keinui ja lyhdyt tekivät välähtäen kunniaa .
 1181228	pistää_silmä	 idiomatic	Loordi Dalgarno tuijotti häneen kuin ihmetellen miehen ujostelemattomuutta , mutta vastasi heti : `` Saatat paljonkin tietää , ystäväiseni ; mutta sinä et vain tiedä seikkaa , mikä nyt lähinnä koskee herraasi , nimittäin miten kantaa hänen viittaansa , jotta kultanauhaiset saumat ja näädännahkainen palle pistäisivät silmään parhaiten .
 1181861	pistää_silmä	 idiomatic	Suuren hovilaisen silmät , liikkeet ja eleet olivat niin hillittyjä ja noudattivat niin tarkoin kaikkea hänen asemaansa kuuluvaa seurustelukaavaa , että ne pistivät silmään selvänä vastakohtana sille rohkealle hilpeydelle ja huolettomuudelle , jolla hän esittäytyi `` rakkaan isäsensä ja kuomansa '' Jaakko-kuninkaan suosioon .
 1201301	pistää_silmä	 idiomatic	Erittäinkin se pisti silmiin kotoisissa vaatimattomissa oloissa .
 1240418	pistää_silmä	 idiomatic	Suonikas ja ruma kaula kannattaa päätä , josta pistävät silmään sisään painunut , mutruileva suu , ja pienet , ikäänkuin talittuneet tihrusilmät , jotka elottomina tuijottavat eteensä .
 1240773	pistää_silmä	 idiomatic	Eräästä toisesta , ahtaasta ja likaisesta palosolasta pistää silmääni kaamea näky : selällään makaava punakaartilainen , joka näyttää niin omituisen litistyneeltä .
 1249677	pistää_silmä	   literal	Tohtori pisti silmään monokkelin -- jonka hän oli tämmöisiä tilaisuuksia varten hankkinut : '' Ah -- mikä tämän herran nimi olikaan ? ''
 1276553	pistää_silmä	 idiomatic	Cokaton asemalta lähtien heti pistää silmään yhden suurviljelijän Jaakko Ojanperän komea kartano .
 1288962	pistää_silmä	 idiomatic	Mutta hän alleviivaa tämän aatesuunnan puhtaasti fennomaanista piirrettä niin voimakkaasti , että hänen karjalainen profiilinsa jo sen vuoksi heti pistää silmään maamme kirjallisuushistoriassa .
 1290058	pistää_silmä	 idiomatic	Ensimmäinen piirre , joka pistää silmään kirjallisuutemme kehityskulkua tarkastellessamme on sen vähittäin tapahtuva _yksilöllistyminen_ .
 1350769	pistää_silmä	 idiomatic	Nukuin kokonaisen vuorokauden , ja ensimmäinen esine , joka herättyäni pisti silmääni , oli erään jesuiitan matkakauhtana .
 1392916	pistää_silmä	 idiomatic	Oli jätetty kartanon ympärille koskematon kehä puita , jotta ei hävitys pistäisi silmään , mutta etempää oli kaikki hakattu .
 1396948	pistää_silmä	 idiomatic	Väkisinkin täytyi tuon kauniin takaraivan pistää silmiin vallattomine hiusten pitimineen , josta vaaleauntuvainen tukka laskeutui kuin varjo kaulalle , jossa se hienoni .
 1399704	pistää_silmä	 idiomatic	Tuo hento olento lepäsi tuossa rehevien värien keskellä , tai pikemmin : se makasi niiden päällä kuin tyhjä , voimaton vaatekappale , -- ja tästä kaikesta pisti silmiin nuo viisaat , tarkkaavaiset kasvot .
 1401168	pistää_silmä	 idiomatic	Se pisti silmiin jo niinkin pienessä asiassa kuin tervehtimisessä .
 1479140	pistää_silmä	 idiomatic	Hänen luonteensa rajaton hyvyys pistää silmään kaikkialla .
 1492703	pistää_silmä	 idiomatic	Ei siinä ole nykyaikaiselle yhteiskunnalliselle liikkeelle mitään erikoista , että jokin ihmisluokka vaatii elämäntilaansa muutosta , vaikka se lähinnä pistääkin silmään , vaan siinä _millä tapaa_ nämä vaatimukset mainitun luokan henkisten vaikutteiden mukaisesti kulloinkin käytännössä toteutetaan .
 1500826	pistää_silmä	 idiomatic	Sellaisena se pistää silmääni , vaan tavoittaa sitä en halua .
 1513999	pistää_silmä	 idiomatic	Oikea hiha riippui tyhjänä , selvästi pisti silmään , että käsi oli poikki .
 1514614	pistää_silmä	 idiomatic	Tutkiessani asiaa lähemmin muutamista teoksista , pisti silmiini se vanha tosiseikka , että jäätyessä veden tilavuus laajenee 0,1 kertaa -- veden , joka sisältää 11,2 % vetyä .
 1531730	pistää_silmä	 idiomatic	Se epäselvyys , joka kirjoituksessa tehtyjen korjausten uhallakin -- Häkkänen oli verraten huono kynämies -- näissä sanoissa pistää silmään , ei estä lukijaa huomaamasta , että tarkoitus on oikea .
 1538841	pistää_silmä	 idiomatic	Mutta tästä lähtien pisti silmiin sangen merkillinen seikka .
 1553439	pistää_silmä	 idiomatic	Nyt hän aikoo vielä viimeksi laskea uutimen alas , ettei aamuaurinko noustessaan pistäisi silmään ... . Silloin hän pysähtyy ja jää katsomaan ulos .
 1580676	pistää_silmä	 idiomatic	Mutta heti kun intohimon usva alkaa vähitellen häipyä tai sen läpi tahtomattammekin arvostelun selvät säteet välkähtävät ja me näemme intohimomme esineen sen oikeassa valossa , ansioineen ja puutteineen , niin puutteellisuudet , odottamatta esiin tulleina , kouraantuntuvina , liioteltuina pistävät silmiimme , uutuuden viehätys ja toivo , että joku toinen ihminen saattaa silti olla täydellinen , edistävät kylmentymistämme jopa vastenmielisyyttäkin entistä intohimomme esinettä kohtaan , ja säälimättä me heitämme sen luotamme ja kiirehdimme uutta täydellisyyttä hakemaan .
 1582091	pistää_silmä	 idiomatic	Jos nyt käännymme tään ajan runnollisuutta katselemaan , niin meille heti pistää silmään , että enimmät sen viljelijät olivat _Pohjanmaalta_ , samaten kuin muukin suomenkielinen kirjallisuus nyt suurimmaksi osaksi joutui heidän käsiinsä .
 1584738	pistää_silmä	 idiomatic	Milloin taas pistää silmään hevosen luuranko , joka yksin loistaa valkeana kedolla .
 1676565	pistää_silmä	 idiomatic	Mikä sentään kaikkein enimmän pisti silmään , oli se erinomainen elollisuus ja kielevyys , jota useimmat osottivat .
 1676794	pistää_silmä	 idiomatic	Kuolavuonon rannat kohoavat vähitellen kuta edemmäksi ulospäin kulkee , vaikka kohoaminen ei niin jyrkästi pistä silmään kun vuono hiljakseen levenee .
 1676858	pistää_silmä	 idiomatic	Viimein alkoi lähimpäin vaarain takaa siintävät taaemmat vaarat värinsä kautta ilmottaa , että niiden ja edellisten välillä oli pitempi matka -- arvaten vuonon vesi ; niityiksi kelpaavia heinikoita ja jonkulaisia koivikoita tuli näkyviin ; karjapolkuja , puitten kantoja ja muita ihmisasuntojen lähisyydestä puhuvia merkkejä pisti silmään , ja klo vähän yli 1 seisottiin mäellä , joka loivasti laskeusi alas merenlahteen .
 1680840	pistää_silmä	 idiomatic	Taakse päin , josta olimme tulleet , katsoessani pisti silmääni kirkas , korkea tunturi , joka näytti olevan vain jonku virstan parin päässä ; kun en muistanut , että sen sivu olisi tultu , kysyin kumppaleilta , mikä tunturi se mahtoi olla .
 1688233	pistää_silmä	 idiomatic	Heti pistää silmiin , että runoelmien aiheet ovat suurenmoisemmat ja raittiimmat kuin meikäläisten tavallisten runonsepittäjien .
 1740725	pistää_silmä	 idiomatic	Airut , joka nyt tuotiin molempien hallitsijain eteen , oli puettu tabard'iin eli takkiin , johon hänen herransa vaakuna oli ommeltu ; eninten kaikesta pisti silmään metsäkarjun pää , vaakunatiedettä ymmärtävien mielestä kuitenkin pikemmin koreasti kuin säännönmukaisesti tehty .
 1746031	pistää_silmä	 idiomatic	Ja sitten se niin pistää silmään , kun kaikilla muilla on , eikä meillä .
 1888350	pistää_silmä	 idiomatic	Eipä ihmekään , sillä heti tupaan astuessa pisti silmään pikimusta lattia , jota ei olisi luullut näiden asukasten aikana pestyn .
 1895358	pistää_silmä	   literal	Sitten se ei enää vastustellut , ja se pestiin ja huuhdottiin käyttäen suihkua , suurta kovaa harjaa ja runsaasti karbolisaippuaa , jonka vaahto tunkeutui pistäen silmiin ja kuonoon nostaen vedet silmiin ja pannen aivastelemaan .
 1922977	pistää_silmä	 idiomatic	Erittäinkin pisti silmään hänen sielukas , kaunis , mutta samalla niin rauhallinen ilmeensä .
 1981153	pistää_silmä	 idiomatic	Mitä tietää nykyajan kasvitieteilijä niistä kasvien ominaisuuksista , jotka salatieteilijälle heti pistävät silmään kasvin nähdessään ja joille hän sitten perustaa lääketieteelliset ja salaiset voimansa .
 1995074	pistää_silmä	 idiomatic	Kaikkein vähimmin hän olisi mukautunut tunnustamaan tätä , sillä jos mikään pistää silmään subjektiivisena ja yksilöllisenä , niin sellaisia ovat tietysti makutuomiot .
 1995477	pistää_silmä	 idiomatic	Usein on koetettu yleisemmällä , kaikkiin kohtiin soveltuvalla tavalla määritellä sitä eroa , joka suuresta yhtäläisyydestä huolimatta heti pistää silmään verratessa antiikkista ja nykyaikaista luonnonkuvausta .
 1996916	pistää_silmä	 idiomatic	Naturalismi maalaa todellisuuden likaiseksi , raa'aksi ja inhoittavaksi ; realismi maalaa sen sellaiseksi kuin se on , mutta vähentäen sen kauneuden , joka ei heti pistä silmään ; harhautunut idealismi esittää siinä valheellista kauneutta , josta kaikki luonteenomainen puuttuu ja joka lopulta käy ikäväksi ja mauttomaksi .
 2026691	pistää_silmä	 idiomatic	Hyllyn alapuolella , siellä täällä , joku naulasta riippuva Niobin pää näytti kärsivää naamaansa , tuossa hymyili Venuksen tapainen , tuolla pisti silmään almua pyytävän kerjäläisen käsi , ja muutamia sauhun kellastuttamia `` nahattomia '' , jotka varsin kuvaavasti esittivät eilen arkusta vedettyjä ruumiita ; lopuksi maalaukset , piirustukset , veistokset , puitteet ilman kangasta ja kangaspalat ilman puitteita , antoivat tuolle kaikkea muuta paitsi sopusuhtaiselle huoneelle atelierin täydellisen leiman , toisin sanoen kummallinen sekoitus koristeista ja alastomuudesta , kurjuudesta ja ylellisyydestä , tarkkuudesta ja huolimattomuudesta .
 2034441	pistää_silmä	 idiomatic	Hänen jäntevät jäsenensä , joissa pistivät silmään erinomaisen kovat lihakset , osoittivat , että hän oli harvinaisen voimakas .
 2082986	pistää_silmä	 idiomatic	Niiden punertavalla pinnalla näkyi suorassa rivissä pieniä mustia neliöitä , joista jo kaukaa pisti silmään valkoiset numerot .
 2134164	pistää_silmä	 idiomatic	Hän tunsi varmaankin minun kiinteän katseeni , sillä hän loi minuun mustat , pistävät silmänsä ... Minä huokasin ... Tämä oli sama isä , jonka olin nähnyt unessa ja jota olin etsinyt .
 2134432	pistää_silmä	 idiomatic	Minusta näytti , että tämä kuollut ihminen tietää minun tänne tuloni , että hän itse on toimeenpannut tämän viimeisen kohtauksen -- olin vielä kuulevinani tuon tutun , kumean murinan ... Minä juoksin syrjään , vilkasin vielä kerran ... Jotain hohtavaa pisti silmääni : se pysäytti minut .
 2135511	pistää_silmä	 idiomatic	Tämä pistää silmään jo Kalevalan esipuheessa , mutta esiytyy enimmin hänen Mehiläisen kanssa antamassansa suomennoksessa saksalaisen Beckerin maailman-historian 1 : tä osaa ( nimellä `` Muistelmia ihmisen elosta kaikkina aikoina '' ) .
 2144896	pistää_silmä	 idiomatic	Kaiken tämän sorakalun seassa pisti silmääni pieni kirjanen , jonka nimenä oli : `` Uudesta ja epätavallisesta ilmanilmiöstä taikka lentävästä aarneesta , joka menneenä vuonna taivaalla nähtiin . ''
 2158236	pistää_silmä	 idiomatic	Naama oli ryppyinen ja erittäinki pisti silmään kaksi syvää juopaa suun kummallai puolen .
 2169514	pistää_silmä	 idiomatic	Aluksi ei se voinut lainkaan pistää silmiin , sillä mies näyttäytyi milloin siellä , milloin täällä , kulki muutaman seudun lävitse , yöpyi toiseen , mutta jonkun ajan jälkeen pantiin merkille , ettei häntä enää näkynyt missään ; ihmiset alkoivat enemmän uteliaisuudesta kuin osanotosta kysellä , mihin hän oli joutunut .
 2186741	pistää_silmä	 idiomatic	Minä en osaa sitä selittää , mutta se oli semmoinen , jommoisia muotilehdet sanovat mestariteoksiksi -- puku , joka heti pistää silmään ja saa meidät seisomaan suu ammollaan .
 2315653	pistää_silmä	 idiomatic	`` Minun pisti silmääni näiden barbaaristen aluksien suuri , epälukuinen määrä -- '' '' Leveiden aarrevaunujemme kuljettamista varten sidottiin kaksi tai kolme rinnakkain . ''
 2316947	pistää_silmä	 idiomatic	Seuralaiseni oudosti pälyvät silmät -- katsokaahan , miten hän nytkin pälyilee , tällä kertaa vain hänessä samalla näkyy pelästystäkin -- pisti silmääni enkä osannut sitä selittää .
 2363834	pistää_silmä	 idiomatic	Lyhty seisoi somaksi kiilloitettuna nurkassa , josta se aina pisti silmään ; ihmiset kyllä sanoivat , että se on roskaa , mutta vanhukset eivät välittäneet siitä , he pitivät lyhdystä .
