ahmia silmillään
ahtaa kitaansa
aiheuttaa päänvaivaa
aikojen alusta
aivoissa liukuu
aivot niksahtaa
aivot pelaa
ajaa parta
ajan hammas
ajan hermo
ajan päästä
ajatella ääneen
ajatus kulkee
allekirjoittaa väite
alun alkaen
alun perin
ampua lonkalta
antaa aikaa
antaa arvoa
antaa elonmerkkiä
antaa kaikkensa
antaa kenkää
antaa korvapuusti
antaa korville
antaa kurinpalautusta
antaa kätensä
antaa luunappi
antaa luuvitosta
antaa neniin
antaa nenälle
antaa nyrkistä
antaa palaa
antaa periksi
antaa persettä
antaa pillua
antaa potkua
antaa potkut
antaa päihin
antaa rukkaset
antaa sapiskaa
antaa selkään
antaa suunvuoro
antaa suuta
arvon herrasväki
asettua taloksi
astua tilille
astua varpaille
aukoa kitusiaan
aukoa leukojaan
aukoa päätään
aukoa suutaan
aukoa turpaansa
avata silmänsä
avata suunsa
edetä elämässään
elämänsä nainen
elää ihmisiksi
elää siivellä
ennustaa kädestä
erottaa silmänvalkuaiset
etsiä käsiinsä
filmi katkeaa
filmi pysähtyy
haastaa riitaa
haihtua päästä
haise vitulle
haista huilu
haista paska
haista vittu
haistella ilmaa
hakata käsiään
hakea duunia
hakea tanssimaan
hakea työtä
haljeta naurusta
haljeta onnesta
haljeta pää
halkoa hiuksia
hallita hermonsa
hallita jutut
hammasta purren
hampaat kalisevat
hanaa pyydän
harata vastaan
haukkoa henkeä
hautoa päässään
heiluttaa häntäänsä
heittää hatusta
heittää helttaa
heittää helttaansa
heittää helvettiin
heittää herjaa
heittää hetulaa
heittää hitoille
heittää huuhaata
heittää huulta
heittää jalkaa
heittää kamaa
heittää legendaa
heittää leipää
heittää lestiä
heittää lonkalta
heittää läppää
heittää mäkeen
heittää naamaansa
heittää nupista
heittää pihalle
heittää pitkäkseen
heittää päästä
heittää reissu
heittää siipeen
heittää veivinsä
heittää vettä
hengittää niskaan
henki kulkee
henki kurkussa
heristellä korviaan
heristää korviaan
heristää nyrkkiä
herja kulkee
hermot loppuu
hermot menee
hermot palaa
hermot pettävät
herättää huomiota
herättää ihmetystä
hillitä itsensä
hillitä suutaan
hioa hampaitaan
hioa kynsiään
hippulat vinkuen
hirttää munistaan
hiukset hulmuten
